A1_A113 C3_B148
A1_A151 A2_C587
A1_A402 D2_B453
A1_A421 C4_A703
A1_A504 A6_A736
A1_A693 B3_B822
A1_A863 C2_B261
A1_A94 A5_A48
A1_B101 A1_B46
A1_B134 B4_B612
A1_B134 B4_B612
A1_B245 B7_B129
A1_B327 C7_B452
A1_B358 B4_B715
A1_B396 A1_C841
A1_B425 A4_B819
A1_B456 A3_B780
A1_B525 A1_A146
A1_B590 D6_B923
A1_B662 C5_C596
A1_B700 A4_A302
A1_B743 D6_C809
A1_B921 D6_C51
A1_B943 A5_A935
A1_C186 A5_C182
A1_C189 C6_C14
A1_C208 A1_C781
A1_C337 B5_B729
A1_C421 A6_C644
A1_C515 C2_A373
A1_C591 A4_C66
A1_C594 D6_C361
A1_C615 D6_C631
A1_C663 D4_C721
A1_C817 A7_C845
A1_C845 B1_B215
A1_C911 B6_C24
A1_C923 A6_B836
A1_C923 A6_B836
A2_A186 D3_C849
A2_A236 A5_C9
A2_A367 D1_B65
A2_A388 C6_B633
A2_A474 D4_A865
A2_A509 C4_A456
A2_A620 B3_B145
A2_A637 A2_A470
A2_A819 D6_C284
A2_A882 D2_A426
A2_A933 B6_A964
A2_B140 A3_A485
A2_B158 A5_B132
A2_B181 C3_B911
A2_B202 A2_B887
A2_B257 B7_C978
A2_B262 B1_A654
A2_B456 B3_C449
A2_B490 A4_B533
A2_B490 A4_B533
A2_B569 B4_C191
A2_B726 D2_B123
A2_B73 C7_B834
A2_B832 A5_B704
A2_B885 C4_B750
A2_B996 D2_C794
A2_C165 B3_A708
A2_C224 C7_C986
A2_C32 D7_B988
A2_C406 D3_C882
A2_C453 C3_C785
A2_C552 C2_B451
A2_C609 A2_C716
A2_C711 A3_C165
A2_C727 D1_A975
A2_C845 D6_B166
A2_C955 A1_C845
A3_A120 B6_A656
A3_A126 C6_C520
A3_A232 D5_A14
A3_A31 C2_A385
A3_A396 C6_C774
A3_A493 D3_B700
A3_A521 D1_B433
A3_A668 B3_A410
A3_A729 A3_A496
A3_A781 C2_B670
A3_A812 A2_A280
A3_A829 D2_C937
A3_A849 D1_B41
A3_A891 D2_A300
A3_A928 A1_B779
A3_B141 A1_B705
A3_B173 D5_A147
A3_B180 A6_A20
A3_B377 C2_C62
A3_B464 B1_C6
A3_B477 C3_B401
A3_B609 D3_B320
A3_B624 B7_B5
A3_B634 B1_C262
A3_B652 C4_A373
A3_B870 A2_C237
A3_B985 C1_C290
A3_C1 B3_B330
A3_C148 B1_C913
A3_C228 C1_C693
A3_C347 D2_C861
A3_C385 A6_B4
A3_C461 B1_A503
A3_C463 D4_C29
A3_C56 C7_B54
A3_C794 A5_B33
A3_C807 C7_C40
A3_C908 B2_A101
A3_C952 A7_B156
A3_C965 A2_A166
A4_A388 B3_A945
A4_A50 A3_A820
A4_A728 C4_B322
A4_A781 A7_A336
A4_A781 A7_A336
A4_A832 B4_A575
A4_A925 A6_A971
A4_A925 A6_A971
A4_A931 D2_C481
A4_B118 B1_B977
A4_B118 B1_B977
A4_B145 A1_B317
A4_B186 A7_B35
A4_B25 A3_B243
A4_B288 D2_C427
A4_B329 C3_B48
A4_B538 A7_B668
A4_B575 C2_B412
A4_B678 D5_C605
A4_B926 A2_B895
A4_B950 A2_B941
A4_B977 C7_C458
A4_C121 C6_A583
A4_C150 D3_B366
A4_C156 C3_C645
A4_C180 A3_C498
A4_C180 A3_C498
A4_C533 A6_C745
A4_C536 A6_C781
A4_C542 A2_B229
A4_C692 D4_C740
A4_C991 C3_A891
A5_A111 C3_C989
A5_A15 C5_A652
A5_A264 D5_B636
A5_A36 C3_C59
A5_A367 D2_C29
A5_A543 A1_C288
A5_A557 B7_C958
A5_A665 C3_A635
A5_A704 D5_B962
A5_A773 A7_B833
A5_A773 A7_B833
A5_A839 B2_B38
A5_A876 A3_C431
A5_A884 A4_A574
A5_A918 C7_A874
A5_B226 D2_A651
A5_B261 C3_A720
A5_B544 A1_B118
